Role,Synonyms,Skills
Nexus Engineer,Nexus Specialist|Nexus Developer|Nexus Programmer,Nexus|Artifact Repository|Maven|Gradle|Docker|CI/CD|Build Automation
Nomad Engineer,Nomad Developer|Nomad Specialist|Nomad Programmer,Nomad|Container Orchestration|Docker|Linux|Cloud Computing|Automation|Networking
Notary Engineer,Notary Developer|Notary Specialist|Notary Programmer,Notary|Security|Docker|Container Security|Cryptography|Trust Management
Octopus Deploy Engineer,Octopus Deploy Developer|Octopus Deploy Specialist|Octopus Deploy Programmer,Octopus Deploy|Deployment Automation|CI/CD|.NET|PowerShell|Scripting|Cloud Computing
OpenShift Engineer,OpenShift Programmer|OpenShift Developer|OpenShift Specialist,OpenShift|Kubernetes|Docker|Linux|Cloud Computing|CI/CD|Automation|Security
OpenStack Engineer,OpenStack Programmer|OpenStack Developer|OpenStack Specialist,OpenStack|Cloud Computing|Virtualization|Networking|Linux|Automation|Scripting
Oracle Developer,Oracle Programmer|Oracle Coder|Oracle Engineer,Oracle|SQL|PL/SQL|Database Design|Performance Tuning|ETL
Oracle SQL Developer,Oracle SQL Programmer|Oracle SQL Coder|Oracle SQL Engineer,Oracle SQL Developer|SQL|PL/SQL|Database Development|Performance Tuning|ETL
Packer Engineer,Packer Developer|Packer Programmer|Packer Specialist,Packer|Infrastructure as Code|Cloud Computing|Automation|AWS|Azure|Google Cloud
PHP Developer,PHP Engineer|PHP Coder|PHP Programmer,PHP|MySQL|Laravel|JavaScript|CSS|HTML|RESTful APIs|Symfony|Git
Powershell Engineer,Powershell Developer|Powershell Specialist|Powershell Programmer,PowerShell|Scripting|Automation|Windows Server|Cloud Computing|Active Directory
PRODUCT MANAGER,PRODUCT Head|PRODUCT Leader,Product Management|Agile Methodologies|User Research|Roadmap Planning|Stakeholder Management|Communication
Programmer,Engineer|Coder|Developer,Programming|Algorithms|Data Structures|Debugging|Software Development|Python|Java|C++
Programmer Analyst,Coder Analyst|Programmer Consultant|Developer Analyst|Engineer Analyst|Programmer Specialist,Programming|Data Analysis|Requirements Gathering|SQL|Data Modeling|Process Improvement
Prometheus Engineer,Prometheus Developer|Prometheus Specialist|Prometheus Programmer,Prometheus|Monitoring|Alerting|Metrics|Kubernetes|Docker|Cloud Computing
Puppet Engineer,Puppet Programmer|Puppet Developer|Puppet Specialist,Puppet|Ruby|Automation|Configuration Management|Linux|Cloud Computing|AWS|Azure|Infrastructure as Code
PyTest Engineer,PyTest Developer|PyTest Specialist|PyTest Programmer,PyTest|Python|Testing|Unit Testing|Test Automation|CI/CD
Python Developer,Python Coder|Python Engineer|Python Programmer,Python|Django|Flask|REST APIs|SQL|Data Structures|Algorithms|Cloud Computing|Linux|Docker|Git
QA Engineer,QA Programmer|QA Specialist|QA Developer,Automation Testing|Selenium|JUnit|TestNG|CI/CD|Python|Git|Jenkins|Test Automation|Agile Testing|Performance Testing
React Developer,React Coder|React Engineer|React Programmer,JavaScript|React|HTML|CSS|Node.js|Redux|UI/UX Design|Git
Robotics Engineer,Robotics Programmer|Robotics Developer|Robotics Specialist,Robotics|C++|Python|ROS|Embedded Systems|Control Systems|Sensors|Actuators
RUBY ON RAILS DEVELOPER,RUBY ON RAILS Coder|RUBY ON RAILS Programmer|RUBY ON RAILS Engineer,Ruby on Rails|Ruby|SQL|HTML|CSS|JavaScript|REST APIs|Git
Salesforce Developer,Salesforce Coder|Salesforce Engineer|Salesforce Programmer,Salesforce|Apex|Visualforce|Lightning|SOQL|Salesforce Administration|REST APIs
Search Engine Optimization,Search Engine Optimization,SEO|Keyword Research|On-Page Optimization|Off-Page Optimization|Content Marketing|Analytics
SECURITY SPECIALIST,SECURITY SPECIALIST,Security|Network Security|Firewalls|IDS/IPS|Vulnerability Management|Penetration Testing|Security Auditing
Selenium Engineer,Selenium Developer|Selenium Programmer|Selenium Specialist,Selenium|Test Automation|Java|Python|WebDriver|CI/CD|Testing Frameworks
Senior Ansible Development Engineer,Senior Ansible Development Specialist|Ansible Development Engineer Senior|Sr Ansible Development Engineer|Senior Ansible Development Developer|Sr Ansible Development Programmer|Sr Ansible Development Specialist|Sr Ansible Development Developer|Senior Ansible Development Programmer,Ansible|Automation|Infrastructure as Code|Cloud Computing|AWS|Azure|Linux|Python|Scripting|Networking|Leadership
Senior Cloud Architect,Sr Cloud Strategist|Senior Cloud Lead|Senior Cloud Strategist|Sr Cloud Lead|Sr Cloud Architect|Cloud Architect Senior|Sr Cloud Designer|Senior Cloud Designer,Cloud Architecture|AWS|Azure|Google Cloud|Microservices|Kubernetes|Docker|Security|Leadership
Senior DevOps Architect,Sr DevOps Designer|Sr DevOps Architect|Sr DevOps Lead|Sr DevOps Strategist|DevOps Architect Senior|Senior DevOps Lead|Senior DevOps Designer|Senior DevOps Strategist,Cloud Computing|AWS|Azure|Google Cloud|Docker|Kubernetes|Terraform|Ansible|CI/CD|Automation|Security|Networking|Leadership
Senior DevOps Engineer,Sr DevOps Developer|Senior DevOps Programmer|Sr DevOps Programmer|DevOps Engineer Senior|Senior DevOps Specialist|Senior DevOps Developer|Sr DevOps Specialist|Sr DevOps Engineer,Docker|Kubernetes|CI/CD|AWS|Azure|Linux|Terraform|Ansible|Jenkins|Git|Automation|Networking|Python|Cloud Computing|Leadership
Senior DevSecOps Architect,Senior DevSecOps Strategist|Sr DevSecOps Designer|Sr DevSecOps Strategist|Sr DevSecOps Architect|DevSecOps Architect Senior|Senior DevSecOps Designer|Senior DevSecOps Lead|Sr DevSecOps Lead,DevSecOps|Cloud Security|Kubernetes|Docker|Terraform|Ansible|CI/CD|Security Automation|Vulnerability Management|Leadership
Senior SRE Architect,Senior SRE Designer|Senior SRE Lead|SRE Architect Senior|Sr SRE Lead|Senior SRE Strategist|Sr SRE Strategist|Sr SRE Designer|Sr SRE Architect,SRE|Monitoring|Kubernetes|Docker|Cloud Platforms|Linux|Automation|DevOps|CI/CD|Python|Networking|Leadership
Senior SRE Engineer,Sr SRE Specialist|Senior SRE Developer|Sr SRE Engineer|Senior SRE Specialist|SRE Engineer Senior|Sr SRE Developer|Sr SRE Programmer|Senior SRE Programmer,SRE|Monitoring|Kubernetes|Docker|Cloud Platforms|Linux|Automation|DevOps|CI/CD|Python|Networking|Leadership
Sharepoint Developer,Sharepoint Programmer|Sharepoint Engineer|Sharepoint Coder,SharePoint|.NET|C#|JavaScript|PowerShell|SharePoint Framework|REST APIs
Software Developer,Software Programmer|Software Engineer|Software Coder,Programming|Algorithms|Data Structures|Debugging|Software Development|Python|Java|C++
Software Engineer,Software Developer|Software Programmer|Software Specialist,Java|C++|Python|Algorithms|Data Structures|Software Design|Git|Jenkins|CI/CD|Cloud Computing
SonarQube Engineer,SonarQube Developer|SonarQube Programmer|SonarQube Specialist,SonarQube|Code Quality|Static Code Analysis|Java|.NET|Security|CI/CD
Splunk Engineer,Splunk Programmer|Splunk Developer|Splunk Specialist,Splunk|Data Analysis|Log Management|Security|Dashboards|Alerting|Scripting|Linux|AWS|Azure
Splunk Enterprise Security Engineer,Splunk Enterprise Security Programmer|Splunk Enterprise Security Specialist|Splunk Enterprise Security Developer,Splunk Enterprise Security|Security Information and Event Management (SIEM)|Threat Detection|Incident Response|Security Analysis
SQL Developer,SQL Coder|SQL Engineer|SQL Programmer,SQL|T-SQL|SQL Server|Database Design|Performance Tuning|ETL|SSRS|SSIS|Data Modeling
SRE Architect,SRE Strategist|SRE Lead|SRE Designer,SRE|Cloud Architecture|Kubernetes|Docker|Monitoring|Incident Management|Automation|CI/CD|Networking
SRE Engineer,SRE Programmer|SRE Developer|SRE Specialist,SRE|Monitoring|Kubernetes|Docker|Cloud Platforms|Linux|Automation|DevOps|CI/CD|Python
SYSTEMS ADMINISTRATOR,SYSTEMS Manager|SYSTEMS Admin|SYSTEMS ManagerISTRATOR|SYSTEMS Ops|SYSTEMS AdministratorISTRATOR,Linux Administration|Windows Server Administration|Networking|Troubleshooting|Scripting|Virtualization
SYSTEMS ENGINEER,SYSTEMS Developer|SYSTEMS Specialist|SYSTEMS Programmer,Systems Design|Linux Administration|Windows Server Administration|Networking|Cloud Computing
TeamCity Engineer,TeamCity Specialist|TeamCity Programmer|TeamCity Developer,TeamCity|CI/CD|Build Automation|Version Control|Git
Tech Sales Engineer,Tech Sales Programmer|Tech Sales Specialist|Tech Sales Developer,Technical Sales|Product Knowledge|Customer Engagement|Networking Technologies
TECHNICAL ACCOUNT MANAGER,TECHNICAL ACCOUNT Head|TECHNICAL ACCOUNT Leader,Account Management|Technical Support|Customer Relationship Management (CRM)|Project Management
TECHNICAL LEAD,TECHNICAL LEAD,Team Leadership|Project Management|Software Development Lifecycle (SDLC)|Agile Methodologies
Terraform Engineer,Terraform Programmer|Terraform Developer|Terraform Specialist,Terraform|Infrastructure as Code (IaC)|AWS|Azure|Google Cloud
TFS Engineer,TFS Programmer|TFS Specialist|TFS Developer,TFS (Team Foundation Server)|.NET Development Tools|.NET Framework
UDeploy Engineer,UDeploy Programmer|UDeploy Developer|UDeploy Specialist,UDeploy (UrbanCode Deploy)|CI/CD|Automation|Deployment Strategies|Version Control
UI DESIGNER,UI DESIGNER,UI Design Principles|Wireframing|Prototyping|Adobe Creative Suite|Figma|User Testing
UI Developer,UI Programmer|UI Engineer|UI Coder,HTML5|CSS3|JavaScript|jQuery|Responsive Design|AngularJS|ReactJS
Unity Developer,Unity Engineer|Unity Coder|Unity Programmer,Unity3D Engine|C#|Game Development Principles|3D Modeling|Animation
UX DESIGNER,UX DESIGNER,User Experience Design Principles|User Research|Wireframing|Prototyping|Usability Testing|Interaction Design
Vault Engineer,Vault Programmer|Vault Specialist|Vault Developer,HashiCorp Vault|Secrets Management|Encryption|Access Control|Cloud Security
Web Designer (UI/UX Designer),Web Designer (UI/UX Designer),UI/UX Design|Wireframing|Prototyping|Adobe Creative Suite|Figma
Web Developer,Web Programmer|Web Engineer|Web Coder,HTML5|CSS3|JavaScript|React|Node.js|AngularJS|PHP
WordPress Developer,WordPress Programmer|WordPress Engineer|WordPress Coder,WordPress|PHP|MySQL|HTML5|CSS3|JavaScript
XL Deploy Engineer,XL Deploy Specialist|XL Deploy Programmer|XL Deploy Developer,XL Deploy|Deployment Automation|CI/CD|Version Control
Zabbix Engineer,Zabbix Specialist|Zabbix Developer|Zabbix Programmer,Zabbix|Monitoring Tools|Alerting Systems|Network Monitoring
ACCESSIBILITY SPECIALIST,ACCESSIBILITY SPECIALIST,Web Accessibility Guidelines|HTML|CSS|JavaScript|User Experience Design
ADMIN BIG DATA,Administrator BIG DATA|Manager BIG DATA|Manager Data|BIG DATA ADMIN|ADMIN Data|Administrator Data,Big Data Management|Hadoop|Spark|Data Warehousing|SQL
AGILE PROJECT MANAGER,AGILE PROJECT Head|AGILE PROJECT Leader,Agile Methodologies|Scrum|Kanban|Project Management Tools|Leadership
ANDROID DEVELOPER,ANDROID Engineer|ANDROID Coder|ANDROID Programmer,Java|Kotlin|Android SDK|Mobile App Development|UI/UX Design
ANSIBLE AUTOMATION ENGINEER,ANSIBLE AUTOMATION Developer|ANSIBLE AUTOMATION Programmer|ANSIBLE AUTOMATION Specialist,Ansible|Automation Scripts|Linux|Networking|Cloud Computing
APPLICATION SECURITY ENGINEER,APPLICATION SECURITY Specialist|APPLICATION SECURITY Developer|APPLICATION SECURITY Programmer,Security Protocols|Penetration Testing|Secure Coding Practices|Compliance
ARTIFACTORY ADMINISTRATOR,ARTIFACTORY Ops|ARTIFACTORY Admin|ARTIFACTORY Manager|ARTIFACTORY AdministratorISTRATOR|ARTIFACTORY ManagerISTRATOR,Artifactory|Repository Management|DevOps Tools|CI/CD Pipelines
ARTIFACTORY ENGINEER,ARTIFACTORY Programmer|ARTIFACTORY Developer|ARTIFACTORY Specialist,Artifactory|DevOps Practices|Continuous Integration|Software Packaging
ARTIFICIAL INTELLIGENCE / MACHINE LEARNING LEADER,AI / ML LEADER|AI / ML Manager|AI / ML Head|ARTIFICIAL INTELLIGENCE / MACHINE LEARNING Head|ARTIFICIAL INTELLIGENCE / MACHINE LEARNING Manager,AI/ML Frameworks|Leadership|Strategic Planning|Data Science
ARTIFICIAL INTELLIGENCE / MACHINE LEARNING SR.LEADER,AI / ML SR.Manager|ARTIFICIAL INTELLIGENCE / MACHINE LEARNING SR.Head|AI / ML SR.Head|AI / ML SR.LEADER|ARTIFICIAL INTELLIGENCE / MACHINE LEARNING SR.Manager,Advanced AI/ML|Leadership|Strategic Vision|Team Management
ARTIFICIAL INTELLIGENCE ARCHITECT,AI Designer|ARTIFICIAL INTELLIGENCE Strategist|ARTIFICIAL INTELLIGENCE Designer|AI Lead|AI ARCHITECT|AI Strategist|ARTIFICIAL INTELLIGENCE Lead,AI/ML Frameworks|System Architecture|Cloud Computing|Data Modeling
ARTIFICIAL INTELLIGENCE RESEARCHER,AI RESEARCHER,Research Methodologies|AI/ML Algorithms|Python|Data Analysis
AWS DEVOPS ENGINEER,AWS DEVOPS Developer|AWS DEVOPS Programmer|AWS DEVOPS Specialist,AWS Services|DevOps Practices|CI/CD Pipelines|Automation
AWS SOLUTIONS ARCHITECT,AWS SOLUTIONS Strategist|AWS SOLUTIONS Lead|AWS SOLUTIONS Designer,AWS Services|Cloud Architecture|Solution Design|Cost Optimization
AZURE DEVOPS ENGINEER,AZURE DEVOPS Developer|AZURE DEVOPS Programmer|AZURE DEVOPS Specialist,Azure Services|DevOps Practices|CI/CD Pipelines|Automation
BAMBOO ENGINEER,BAMBOO Developer|BAMBOO Specialist|BAMBOO Programmer,Bamboo|CI/CD Pipelines|Build Automation|Software Configuration Management
BIG DATA ARCHITECT,Data Designer|Data Strategist|BIG DATA Lead|BIG DATA Designer|Data Lead|BIG DATA Strategist|Data ARCHITECT,Big Data Technologies|Hadoop|Spark|Data Warehousing|System Design
BIG DATA ENGINEER,BIG DATA Developer|Data Developer|BIG DATA Specialist|Data Programmer|Data Specialist|Data ENGINEER|BIG DATA Programmer,Hadoop|Spark|ETL Processes|Data Processing|Database Management
BIG DATA SPECIALIST,Data SPECIALIST,Big Data Technologies|Data Analysis|SQL|Data Mining
BITBUCKET ENGINEER,BITBUCKET Developer|BITBUCKET Programmer|BITBUCKET Specialist,Bitbucket|Git|Version Control|CI/CD Integration
BLOCKCHAIN DEVELOPER,BLOCKCHAIN Engineer|BLOCKCHAIN Coder|BLOCKCHAIN Programmer,Blockchain Technologies|Solidity|Cryptography|Smart Contracts
BUILD AND RELEASE ENGINEER,BUILD AND RELEASE Developer|BUILD AND RELEASE Specialist|BUILD AND RELEASE Programmer,CI/CD Pipelines|Build Systems|Automation|Configuration Management
BUILD ENGINEER,BUILD Specialist|BUILD Programmer|BUILD Developer,Build Systems|Scripting|Automation|Software Configuration Management
BUSINESS SYSTEMS ANALYST,BUSINESS SYSTEMS Consultant|BUSINESS SYSTEMS Specialist,Requirements Gathering|Process Analysis|System Design|Documentation
C# DEVELOPER,C# Programmer|C# Engineer|C# Coder,C#|.NET Framework|ASP.NET|Software Development|Object-Oriented Programming
CHEF INSPEC ENGINEER,CHEF INSPEC Specialist|CHEF INSPEC Programmer|CHEF INSPEC Developer,Chef Inspec|Compliance Automation|Infrastructure Testing|Ruby
CHEF OPERATIONS ENGINEER,CHEF OPERATIONS Specialist|CHEF Ops Developer|CHEF OPERATIONS Programmer|CHEF Ops Programmer|CHEF OPERATIONS Developer|CHEF Ops Specialist|CHEF Ops ENGINEER,Chef|Automation|Infrastructure Management|Ruby
CLOUD ADMINISTRATOR,CLOUD Manager|CLOUD ManagerISTRATOR|CLOUD Ops|CLOUD AdministratorISTRATOR|CLOUD Admin,Cloud Platforms|System Administration|Virtualization|Networking
CLOUD ARCHITECT,CLOUD Designer|CLOUD Lead|CLOUD Strategist,Cloud Platforms|System Architecture|Cloud Security|DevOps
CLOUD AUTOMATION ENGINEER,CLOUD AUTOMATION Specialist|CLOUD AUTOMATION Developer|CLOUD AUTOMATION Programmer,Cloud Automation Tools|Scripting|Configuration Management|DevOps
CLOUD NETWORK ENGINEER,CLOUD NETWORK Developer|CLOUD NETWORK Programmer|CLOUD NETWORK Specialist,Cloud Networking|Virtual Networks|Network Security|Cloud Platforms
CLOUD SECURITY ENGINEER,CLOUD SECURITY Developer|CLOUD SECURITY Programmer|CLOUD SECURITY Specialist,Cloud Security|Security Protocols|Compliance|Cloud Platforms
CNC PROGRAMMER,CNC Coder|CNC Developer|CNC Engineer,CNC Machines|CAD/CAM Software|G-Code|Manufacturing Processes
CODER,CODER,Programming Languages|Scripting|Problem Solving|Software Development
COMPUTER GRAPHICS ANIMATOR,COMPUTER GRAPHICS ANIMATOR,Animation Software|3D Modeling|Visual Effects|Graphic Design
COMPUTER HARDWARE ENGINEER,COMPUTER HARDWARE Specialist|COMPUTER HARDWARE Developer|COMPUTER HARDWARE Programmer,Hardware Design|Circuit Design|Embedded Systems|Testing
COMPUTER NETWORK ARCHITECT,COMPUTER NETWORK Lead|COMPUTER NETWORK Designer|COMPUTER NETWORK Strategist,Network Design|Network Protocols|Security|System Architecture
COMPUTER PROGRAMMER,COMPUTER Developer|COMPUTER Engineer|COMPUTER Coder,Programming Languages|Algorithms|Software Development|Debugging
COMPUTER RESEARCH SCIENTIST,COMPUTER RESEARCH Analyst|COMPUTER RESEARCH Researcher,Research Methodologies|Data Analysis|Programming|Scientific Writing
COMPUTER SYSTEMS ANALYST,COMPUTER SYSTEMS Specialist|COMPUTER SYSTEMS Consultant,Systems Analysis|Requirements Gathering|Process Improvement|IT Consulting
CONFLUENCE ENGINEER,CONFLUENCE Programmer|CONFLUENCE Developer|CONFLUENCE Specialist,Confluence|Atlassian Suite|Documentation|Collaboration Tools
CONSUL ENGINEER,CONSUL Developer|CONSUL Programmer|CONSUL Specialist,Consul|Service Discovery|Infrastructure Automation|Networking
COVERAGE.PY ENGINEER,COVERAGE.PY Specialist|COVERAGE.PY Developer|COVERAGE.PY Programmer,Coverage.py|Python Testing|Test Coverage Analysis|Software Quality
DATA ANALYST,DATA Consultant|DATA Specialist,Data Analysis|SQL|Data Visualization|Statistical Analysis
DATA ARCHITECT,DATA Designer|DATA Strategist|DATA Lead,Data Modeling|Database Design|ETL Processes|Data Warehousing
DATA ENGINEER,DATA Programmer|DATA Developer|DATA Specialist,ETL Processes|Data Warehousing|Big Data Technologies|Database Management
DATA MODELER,DATA MODELER,Data Modeling Techniques|Database Design|Data Governance|Data Analysis
DATA SCIENTIST,DATA Researcher|DATA Analyst,Machine Learning|Statistical Analysis|Data Mining|Programming
DATABASE ADMINISTRATOR,DATABASE Admin|DATABASE Manager|DATABASE Ops|DATABASE ManagerISTRATOR|DATABASE AdministratorISTRATOR,Database Management|SQL|Performance Tuning|Backup and Recovery
DATADOG ENGINEER,DATADOG Programmer|DATADOG Developer|DATADOG Specialist,Datadog|Monitoring|System Performance|Cloud Infrastructure
DEVOPS ARCHITECT,DEVOPS Lead|DEVOPS Designer|DEVOPS Strategist,DevOps Practices|Cloud Computing|Automation|System Architecture
DEVOPS ENGINEER,DEVOPS Programmer|DEVOPS Specialist|DEVOPS Developer,Automation|CI/CD|Cloud Computing|Scripting
DEVOPS MANAGER,DEVOPS Head|DEVOPS Leader,DevOps Practices|Team Leadership|Project Management|Automation
DEVSECOPS ARCHITECT,DEVSECOPS Strategist|DEVSECOPS Lead|DEVSECOPS Designer,DevSecOps Practices|Security Automation|Cloud Security|System Architecture
DEVSECOPS ENGINEER,DEVSECOPS Programmer|DEVSECOPS Developer|DEVSECOPS Specialist,Security Automation|CI/CD|Cloud Security|Scripting
DIRECTOR OF ENGINEERING,DIRECTOR OF DeveloperING|DIRECTOR OF ProgrammerING|DIRECTOR OF SpecialistING,Leadership|Software Development|Project Management|Team Management
DOCKER ENGINEER,DOCKER Specialist|DOCKER Developer|DOCKER Programmer,Docker|Containerization|Orchestration|DevOps
ELK ENGINEER,ELK Developer|ELK Programmer|ELK Specialist,ELK Stack|Log Management|Data Analysis|System Monitoring
EMBEDDED SOFTWARE ENGINEER,EMBEDDED SOFTWARE Developer|EMBEDDED SOFTWARE Programmer|EMBEDDED SOFTWARE Specialist,Embedded Systems|C/C++|Firmware Development|Hardware Interfaces
ENTRY LEVEL DEVELOPER,ENTRY LEVEL Engineer|ENTRY LEVEL Coder|ENTRY LEVEL Programmer,Programming Basics|Software Development|Problem Solving|Learning Agility
ENTRY LEVEL NETWORK ENGINEER,ENTRY LEVEL NETWORK Developer|ENTRY LEVEL NETWORK Specialist|ENTRY LEVEL NETWORK Programmer,Networking Basics|Troubleshooting|System Administration|Learning Agility
ENTRY LEVEL PROGRAMMER,ENTRY LEVEL Developer|ENTRY LEVEL Engineer|ENTRY LEVEL Coder,Programming Basics|Software Development|Problem Solving|Learning Agility
ENTRY LEVEL WEB DEVELOPER,ENTRY LEVEL WEB Engineer|ENTRY LEVEL WEB Coder|ENTRY LEVEL WEB Programmer,HTML|CSS|JavaScript|Basic Web Development|Learning Agility
ENVOY ENGINEER,ENVOY Programmer|ENVOY Developer|ENVOY Specialist,Envoy Proxy|Service Mesh|Load Balancing|Networking
FALCO ENGINEER,FALCO Programmer|FALCO Developer|FALCO Specialist,Falco|Kubernetes Security|Cloud Security|System Monitoring
FLUENTD ENGINEER,FLUENTD Programmer|FLUENTD Specialist|FLUENTD Developer,Fluentd|Log Aggregation|Data Collection|System Monitoring
FORTIFY ENGINEER,FORTIFY Developer|FORTIFY Specialist|FORTIFY Programmer,Fortify|Static Code Analysis|Application Security|Secure Coding
FRAMEWORKS SPECIALIST,FRAMEWORKS SPECIALIST,Software Frameworks|Programming Languages|Problem Solving|System Design
FRONT END DEVELOPER,FRONT END Engineer|FRONT END Coder|FRONT END Programmer,HTML|CSS|JavaScript|UI/UX Design|Responsive Design
FULL STACK DEVELOPER,FULL STACK Coder|FULL STACK Engineer|FULL STACK Programmer,HTML|CSS|JavaScript|Back-End Technologies|Database Management
FULL STACK JAVA DEVELOPER/PROGRAMMER/ENGINEER,FULL STACK JAVA DEVELOPER/PROGRAMMER/Specialist|FULL STACK JAVA Coder/PROGRAMMER/ENGINEER|FULL STACK JAVA Programmer/PROGRAMMER/ENGINEER|FULL STACK JAVA DEVELOPER/Developer/ENGINEER|FULL STACK JAVA DEVELOPER/Coder/ENGINEER|FULL STACK JAVA DEVELOPER/Engineer/ENGINEER|FULL STACK JAVA DEVELOPER/PROGRAMMER/Programmer|FULL STACK JAVA Engineer/PROGRAMMER/ENGINEER|FULL STACK JAVA DEVELOPER/PROGRAMMER/Developer,Java|Spring|Hibernate|HTML|CSS|JavaScript
FULL STACK PYTHON DEVELOPER/PROGRAMMER/ENGINEER,FULL STACK PYTHON DEVELOPER/PROGRAMMER/Programmer|FULL STACK PYTHON Coder/PROGRAMMER/ENGINEER|FULL STACK PYTHON DEVELOPER/PROGRAMMER/Specialist|FULL STACK PYTHON DEVELOPER/Developer/ENGINEER|FULL STACK PYTHON Engineer/PROGRAMMER/ENGINEER|FULL STACK PYTHON Programmer/PROGRAMMER/ENGINEER|FULL STACK PYTHON DEVELOPER/Engineer/ENGINEER|FULL STACK PYTHON DEVELOPER/PROGRAMMER/Developer|FULL STACK PYTHON DEVELOPER/Coder/ENGINEER,Python|Django|Flask|HTML|CSS|JavaScript
GAME DEVELOPER,GAME Engineer|GAME Coder|GAME Programmer,C++|C#|Game Engines|3D Modeling|Game Design
GCP DEVOPS ENGINEER,GCP DEVOPS Programmer|GCP DEVOPS Specialist|GCP DEVOPS Developer,Google Cloud Platform|DevOps Practices|CI/CD Pipelines|Automation
GERRIT ADMINISTRATOR,GERRIT AdministratorISTRATOR|GERRIT Admin|GERRIT Manager|GERRIT ManagerISTRATOR|GERRIT Ops,Gerrit|Code Review|Git|Version Control
GIT ENGINEER,GIT Specialist|GIT Developer|GIT Programmer,Git|Version Control|Branching Strategies|Collaboration
GITHUB ENGINEER,GITHUB Programmer|GITHUB Developer|GITHUB Specialist,GitHub|Git|Collaboration Tools|CI/CD Integration
GITLAB ENGINEER,GITLAB Developer|GITLAB Specialist|GITLAB Programmer,GitLab|Git|CI/CD Pipelines|DevOps Practices
GRADLE ENGINEER,GRADLE Specialist|GRADLE Developer|GRADLE Programmer,Gradle|Build Automation|Java|Software Configuration Management
GRAFANA ENGINEER,GRAFANA Programmer|GRAFANA Developer|GRAFANA Specialist,Grafana|Data Visualization|Monitoring|System Performance
GROOVY ENGINEER,GROOVY Specialist|GROOVY Developer|GROOVY Programmer,Groovy|Scripting|Automation|Software Development
INFORMATION ARCHITECT,INFORMATION Lead|INFORMATION Designer|INFORMATION Strategist,Information Architecture|User Experience Design|Content Strategy|Taxonomy
INFORMATION SECURITY ANALYST,INFORMATION SECURITY Specialist|INFORMATION SECURITY Consultant,Security Protocols|Threat Analysis|Compliance|Incident Response
INTERACTION DESIGNER,INTERACTION DESIGNER,Interaction Design|User Research|Prototyping|Usability Testing
IOS DEVELOPER,IOS Coder|IOS Engineer|IOS Programmer,Swift|Objective-C|iOS SDK|Mobile App Development|UI/UX Design
ISTIO ENGINEER,ISTIO Developer|ISTIO Specialist|ISTIO Programmer,Istio|Service Mesh|Traffic Management|Security
IT MANAGER,IT Leader|IT Head,IT Management|Team Leadership|Project Management|Budgeting
JACOCO ENGINEER,JACOCO Programmer|JACOCO Specialist|JACOCO Developer,JaCoCo|Code Coverage|Java Testing|Software Quality
JAVA DEVELOPER,JAVA Coder|JAVA Engineer|JAVA Programmer,Java|Spring|Hibernate|Software Development|Object-Oriented Programming
JENKINS ENGINEER,JENKINS Specialist|JENKINS Programmer|JENKINS Developer,Jenkins|CI/CD Pipelines|Build Automation|DevOps Practices
JIRA ADMINISTRATOR,JIRA Manager|JIRA Ops|JIRA AdministratorISTRATOR|JIRA ManagerISTRATOR|JIRA Admin,Jira|Atlassian Suite|Workflow Configuration|Project Management
JUNIOR FRONT END DEVELOPER,Jr FRONT END Coder|FRONT END DEVELOPER JUNIOR|JUNIOR FRONT END Engineer|Jr FRONT END Engineer|JUNIOR FRONT END Coder|JUNIOR FRONT END Programmer|Jr FRONT END DEVELOPER|Jr FRONT END Programmer,HTML|CSS|JavaScript|Basic Web Development|Learning Agility
JUNIOR IOS DEVELOPER,IOS DEVELOPER JUNIOR|JUNIOR IOS Programmer|Jr IOS Coder|Jr IOS Programmer|JUNIOR IOS Engineer|Jr IOS Engineer|Jr IOS DEVELOPER|JUNIOR IOS Coder,Swift|Objective-C|iOS SDK|Basic Mobile App Development|Learning Agility
JUNIT ENGINEER,JUNIT Programmer|JUNIT Specialist|JUNIT Developer,JUnit|Java Testing|Test Automation|Software Quality
KUBERNETES OPERATIONS ENGINEER,KUBERNETES Ops ENGINEER|KUBERNETES Ops Developer|KUBERNETES OPERATIONS Developer|KUBERNETES OPERATIONS Programmer|KUBERNETES Ops Specialist|KUBERNETES Ops Programmer|KUBERNETES OPERATIONS Specialist,Kubernetes|Container Orchestration|Cloud Computing|DevOps Practices
MACHINE LEARNING ARCHITECT,MACHINE LEARNING Lead|ML Strategist|MACHINE LEARNING Strategist|ML ARCHITECT|ML Lead|MACHINE LEARNING Designer|ML Designer,Machine Learning Algorithms|System Architecture|Cloud Computing|Data Modeling
MACHINE LEARNING ENGINEER,MLE|MACHINE LEARNING Developer|ML Developer|ML Specialist|ML Engineer|MACHINE LEARNING Programmer|ML ENGINEER|ML Programmer|MACHINE LEARNING Specialist,Machine Learning Algorithms|Python|Data Analysis|Model Deployment
MAVEN ENGINEER,MAVEN Specialist|MAVEN Programmer|MAVEN Developer,Maven|Build Automation|Java|Software Configuration Management
MOBILE APP DEVELOPER,MOBILE APP Engineer|MOBILE APP Coder|MOBILE APP Programmer,Mobile App Development|iOS/Android SDKs|UI/UX Design|Programming Languages
